No,공고,사명,장소,참조
23,(주)파이온텍  마케팅 상품기획 경력직 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000262&src=etc*search
24,(주)파이빅스 해외영업 신입직원 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260000210&src=etc*search
25,(주)파이온텍 마케팅 상품기획 팀원급 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000235&src=etc*search
26,CNC 및 파이프레이저 생산가공 (정규직),(주)디랙스,경기>안양시 만안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2303230000261&src=etc*search
27,수동 보링기 100파이 1대 기술자 모집,글로벌company,경기>김포시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002346&src=etc*search
28,[K-DT 무료교육] 빅데이터 자바&파이선  풀스택 취업과정 훈련생  모집,오라클자바교육센터,서울>구로구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190005654&src=etc*search
29,주5일 / 부천 송내 벤츠파이낸스 대표번호 고객상담 모집,(주)유정에이치알,경기 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230002980&src=etc*search
30,세종파이낸스센터1차 미화원 채용 (1명),주식회사 유진티에스,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002307&src=etc*search
31,파이썬 ( python) 개발 경력자 모집,(주)테드,서울>강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408220004644&src=etc*search
32,"코딩 학원 전임 강사 모집합니다. (파이썬, c언어)",코딩하는아이들컴퓨터학원,서울>은평구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2210180003731&src=etc*search
33,[Lighthouse] Backend 파이썬 개발자 채용,삼정회계법인,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001264&src=etc*search
34,"백엔드 풀스택 웹개발자 부트캠프 (자바, 파이썬, AI 챗봇) 연수생 모집",(주) 이젠아카데미,서울>강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210004846&src=etc*search
35,"[아이티윌부산] AI(파이썬) 활용 백엔드(자바, 스프링) 개발자 과정 모집 (8, 9월)",(주)아이티윌 부산지점,부산>부산진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407190002731&src=etc*search
36,개발자 모집 - Python 서버 프로그램 개발,(주)위존,서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2201100005848&src=etc*search
37,[제주]시스템 개발(Python) 계약직/정규직 모집,(주)네피리티,제주>제주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001012&src=etc*search
38,[일자리매칭플랫폼] Python 개발자 채용,(주)버블콘,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408070004863&src=etc*search
39,[일자리매칭플랫폼] Python Back-end Engineer,올거나이즈코리아 주식회사,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407250004247&src=etc*search
40,Python 데이터 처리 및 분석 프로그램 개발자 모집,디지키,경기>안양시 만안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2406210000354&src=etc*search
41,[AOX Korea] Python / C++ Engineer(신입),유한회사 에이오엑스코리아,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407260005573&src=etc*search
42,[일자리매칭플랫폼] 데이터 엔지니어 (Python) 채용,(주)핀다,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407220001580&src=etc*search
43,백엔드 엔지니어 (Python),(주)버핏서울,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407310000342&src=etc*search
44,(주)퍼브 SK AI 개발프로젝트 Python 개발자 프리랜서 채용,(주)퍼브,경기>과천시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210002650&src=etc*search
45,[코리아교육그룹]Python / JAVA / C언어/ C# / C++ 강사 모집중,(주)에스씨에이아카데미혜화,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2112200003928&src=etc*search
46,파이프레이저 절단사원 모집,준텍레이저,경북>포항시 남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190000965&src=etc*search
47,"백엔드 개발자 Node.js, Python/5년 이상",(주)딥세일즈,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2403200000195&src=etc*search
48,가든파이브웍스 기계기사 채용,가든파이브웍스(주),서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270002214&src=etc*search
49,130파이 보링기 경력사원 모집,주식회사 엠스타,경기>시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260002119&src=etc*search
50,사단법인 파이나다운청년들 매니저 채용,(사)파이나다운청년들,경기>성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2404020000319&src=etc*search
51,[파이빅스] 제품디자인 경력직 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230004340&src=etc*search
52,계룡산 호두파이 라벨로에서 직원모집합니다.,계룡산호두파이 라벨로,충남>공주시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2301070000040&src=etc*search
53,(주)파이온텍  마케팅 상품기획 경력직 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000262&src=etc*search
54,(주)파이빅스 해외영업 신입직원 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260000210&src=etc*search
55,(주)파이온텍 마케팅 상품기획 팀원급 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000235&src=etc*search
56,CNC 및 파이프레이저 생산가공 (정규직),(주)디랙스,경기>안양시 만안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2303230000261&src=etc*search
57,수동 보링기 100파이 1대 기술자 모집,글로벌company,경기>김포시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002346&src=etc*search
58,[K-DT 무료교육] 빅데이터 자바&파이선  풀스택 취업과정 훈련생  모집,오라클자바교육센터,서울>구로구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190005654&src=etc*search
59,주5일 / 부천 송내 벤츠파이낸스 대표번호 고객상담 모집,(주)유정에이치알,경기 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230002980&src=etc*search
60,세종파이낸스센터1차 미화원 채용 (1명),주식회사 유진티에스,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002307&src=etc*search
61,파이썬 ( python) 개발 경력자 모집,(주)테드,서울>강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408220004644&src=etc*search
62,"코딩 학원 전임 강사 모집합니다. (파이썬, c언어)",코딩하는아이들컴퓨터학원,서울>은평구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2210180003731&src=etc*search
63,[Lighthouse] Backend 파이썬 개발자 채용,삼정회계법인,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001264&src=etc*search
64,"백엔드 풀스택 웹개발자 부트캠프 (자바, 파이썬, AI 챗봇) 연수생 모집",(주) 이젠아카데미,서울>강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210004846&src=etc*search
65,"[아이티윌부산] AI(파이썬) 활용 백엔드(자바, 스프링) 개발자 과정 모집 (8, 9월)",(주)아이티윌 부산지점,부산>부산진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407190002731&src=etc*search
66,개발자 모집 - Python 서버 프로그램 개발,(주)위존,서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2201100005848&src=etc*search
67,[제주]시스템 개발(Python) 계약직/정규직 모집,(주)네피리티,제주>제주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001012&src=etc*search
68,[일자리매칭플랫폼] Python 개발자 채용,(주)버블콘,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408070004863&src=etc*search
69,[일자리매칭플랫폼] Python Back-end Engineer,올거나이즈코리아 주식회사,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407250004247&src=etc*search
70,Python 데이터 처리 및 분석 프로그램 개발자 모집,디지키,경기>안양시 만안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2406210000354&src=etc*search
71,[AOX Korea] Python / C++ Engineer(신입),유한회사 에이오엑스코리아,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407260005573&src=etc*search
72,[일자리매칭플랫폼] 데이터 엔지니어 (Python) 채용,(주)핀다,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407220001580&src=etc*search
73,백엔드 엔지니어 (Python),(주)버핏서울,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407310000342&src=etc*search
74,(주)퍼브 SK AI 개발프로젝트 Python 개발자 프리랜서 채용,(주)퍼브,경기>과천시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210002650&src=etc*search
75,[코리아교육그룹]Python / JAVA / C언어/ C# / C++ 강사 모집중,(주)에스씨에이아카데미혜화,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2112200003928&src=etc*search
76,파이프레이저 절단사원 모집,준텍레이저,경북>포항시 남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190000965&src=etc*search
77,"백엔드 개발자 Node.js, Python/5년 이상",(주)딥세일즈,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2403200000195&src=etc*search
78,가든파이브웍스 기계기사 채용,가든파이브웍스(주),서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270002214&src=etc*search
79,130파이 보링기 경력사원 모집,주식회사 엠스타,경기>시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260002119&src=etc*search
80,사단법인 파이나다운청년들 매니저 채용,(사)파이나다운청년들,경기>성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2404020000319&src=etc*search
81,[파이빅스] 제품디자인 경력직 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230004340&src=etc*search
82,계룡산 호두파이 라벨로에서 직원모집합니다.,계룡산호두파이 라벨로,충남>공주시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2301070000040&src=etc*search
83,(주)파이온텍  마케팅 상품기획 경력직 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000262&src=etc*search
84,(주)파이빅스 해외영업 신입직원 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260000210&src=etc*search
85,(주)파이온텍 마케팅 상품기획 팀원급 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000235&src=etc*search
86,CNC 및 파이프레이저 생산가공 (정규직),(주)디랙스,경기>안양시 만안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2303230000261&src=etc*search
87,수동 보링기 100파이 1대 기술자 모집,글로벌company,경기>김포시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002346&src=etc*search
88,[K-DT 무료교육] 빅데이터 자바&파이선  풀스택 취업과정 훈련생  모집,오라클자바교육센터,서울>구로구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190005654&src=etc*search
89,주5일 / 부천 송내 벤츠파이낸스 대표번호 고객상담 모집,(주)유정에이치알,경기 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230002980&src=etc*search
90,세종파이낸스센터1차 미화원 채용 (1명),주식회사 유진티에스,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002307&src=etc*search
91,파이썬 ( python) 개발 경력자 모집,(주)테드,서울>강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408220004644&src=etc*search
92,"코딩 학원 전임 강사 모집합니다. (파이썬, c언어)",코딩하는아이들컴퓨터학원,서울>은평구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2210180003731&src=etc*search
93,[Lighthouse] Backend 파이썬 개발자 채용,삼정회계법인,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001264&src=etc*search
94,"백엔드 풀스택 웹개발자 부트캠프 (자바, 파이썬, AI 챗봇) 연수생 모집",(주) 이젠아카데미,서울>강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210004846&src=etc*search
95,"[아이티윌부산] AI(파이썬) 활용 백엔드(자바, 스프링) 개발자 과정 모집 (8, 9월)",(주)아이티윌 부산지점,부산>부산진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407190002731&src=etc*search
96,개발자 모집 - Python 서버 프로그램 개발,(주)위존,서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2201100005848&src=etc*search
97,[제주]시스템 개발(Python) 계약직/정규직 모집,(주)네피리티,제주>제주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001012&src=etc*search
98,[일자리매칭플랫폼] Python 개발자 채용,(주)버블콘,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408070004863&src=etc*search
99,[일자리매칭플랫폼] Python Back-end Engineer,올거나이즈코리아 주식회사,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407250004247&src=etc*search
100,Python 데이터 처리 및 분석 프로그램 개발자 모집,디지키,경기>안양시 만안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2406210000354&src=etc*search
101,[AOX Korea] Python / C++ Engineer(신입),유한회사 에이오엑스코리아,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407260005573&src=etc*search
102,[일자리매칭플랫폼] 데이터 엔지니어 (Python) 채용,(주)핀다,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407220001580&src=etc*search
103,백엔드 엔지니어 (Python),(주)버핏서울,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407310000342&src=etc*search
104,(주)퍼브 SK AI 개발프로젝트 Python 개발자 프리랜서 채용,(주)퍼브,경기>과천시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210002650&src=etc*search
105,[코리아교육그룹]Python / JAVA / C언어/ C# / C++ 강사 모집중,(주)에스씨에이아카데미혜화,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2112200003928&src=etc*search
106,파이프레이저 절단사원 모집,준텍레이저,경북>포항시 남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190000965&src=etc*search
107,"백엔드 개발자 Node.js, Python/5년 이상",(주)딥세일즈,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2403200000195&src=etc*search
108,가든파이브웍스 기계기사 채용,가든파이브웍스(주),서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270002214&src=etc*search
109,130파이 보링기 경력사원 모집,주식회사 엠스타,경기>시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260002119&src=etc*search
110,사단법인 파이나다운청년들 매니저 채용,(사)파이나다운청년들,경기>성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2404020000319&src=etc*search
111,[파이빅스] 제품디자인 경력직 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230004340&src=etc*search
112,계룡산 호두파이 라벨로에서 직원모집합니다.,계룡산호두파이 라벨로,충남>공주시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2301070000040&src=etc*search
113,(주)파이온텍  마케팅 상품기획 경력직 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000262&src=etc*search
114,(주)파이빅스 해외영업 신입직원 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260000210&src=etc*search
115,(주)파이온텍 마케팅 상품기획 팀원급 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000235&src=etc*search
116,CNC 및 파이프레이저 생산가공 (정규직),(주)디랙스,경기>안양시 만안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2303230000261&src=etc*search
117,수동 보링기 100파이 1대 기술자 모집,글로벌company,경기>김포시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002346&src=etc*search
118,[K-DT 무료교육] 빅데이터 자바&파이선  풀스택 취업과정 훈련생  모집,오라클자바교육센터,서울>구로구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190005654&src=etc*search
119,주5일 / 부천 송내 벤츠파이낸스 대표번호 고객상담 모집,(주)유정에이치알,경기 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230002980&src=etc*search
120,세종파이낸스센터1차 미화원 채용 (1명),주식회사 유진티에스,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002307&src=etc*search
121,파이썬 ( python) 개발 경력자 모집,(주)테드,서울>강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408220004644&src=etc*search
122,"코딩 학원 전임 강사 모집합니다. (파이썬, c언어)",코딩하는아이들컴퓨터학원,서울>은평구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2210180003731&src=etc*search
123,[Lighthouse] Backend 파이썬 개발자 채용,삼정회계법인,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001264&src=etc*search
124,"백엔드 풀스택 웹개발자 부트캠프 (자바, 파이썬, AI 챗봇) 연수생 모집",(주) 이젠아카데미,서울>강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210004846&src=etc*search
125,"[아이티윌부산] AI(파이썬) 활용 백엔드(자바, 스프링) 개발자 과정 모집 (8, 9월)",(주)아이티윌 부산지점,부산>부산진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407190002731&src=etc*search
126,개발자 모집 - Python 서버 프로그램 개발,(주)위존,서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2201100005848&src=etc*search
127,[제주]시스템 개발(Python) 계약직/정규직 모집,(주)네피리티,제주>제주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001012&src=etc*search
128,[일자리매칭플랫폼] Python 개발자 채용,(주)버블콘,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408070004863&src=etc*search
129,[일자리매칭플랫폼] Python Back-end Engineer,올거나이즈코리아 주식회사,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407250004247&src=etc*search
130,Python 데이터 처리 및 분석 프로그램 개발자 모집,디지키,경기>안양시 만안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2406210000354&src=etc*search
131,[AOX Korea] Python / C++ Engineer(신입),유한회사 에이오엑스코리아,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407260005573&src=etc*search
132,[일자리매칭플랫폼] 데이터 엔지니어 (Python) 채용,(주)핀다,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407220001580&src=etc*search
133,백엔드 엔지니어 (Python),(주)버핏서울,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407310000342&src=etc*search
134,(주)퍼브 SK AI 개발프로젝트 Python 개발자 프리랜서 채용,(주)퍼브,경기>과천시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210002650&src=etc*search
135,[코리아교육그룹]Python / JAVA / C언어/ C# / C++ 강사 모집중,(주)에스씨에이아카데미혜화,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2112200003928&src=etc*search
136,파이프레이저 절단사원 모집,준텍레이저,경북>포항시 남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190000965&src=etc*search
137,"백엔드 개발자 Node.js, Python/5년 이상",(주)딥세일즈,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2403200000195&src=etc*search
138,가든파이브웍스 기계기사 채용,가든파이브웍스(주),서울>송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270002214&src=etc*search
139,130파이 보링기 경력사원 모집,주식회사 엠스타,경기>시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260002119&src=etc*search
140,사단법인 파이나다운청년들 매니저 채용,(사)파이나다운청년들,경기>성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2404020000319&src=etc*search
141,[파이빅스] 제품디자인 경력직 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230004340&src=etc*search
142,계룡산 호두파이 라벨로에서 직원모집합니다.,계룡산호두파이 라벨로,충남>공주시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2301070000040&src=etc*search
143,(주)파이온텍  마케팅 상품기획 경력직 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000262&src=etc*search
144,(주)파이빅스 해외영업 신입직원 채용,(주)파이빅스,경기>수원시 권선구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260000210&src=etc*search
145,(주)파이온텍 마케팅 상품기획 팀원급 채용,(주) 파이온텍,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000235&src=etc*search
146,CNC 및 파이프레이저 생산가공 (정규직),(주)디랙스,경기>안양시 만안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2303230000261&src=etc*search
147,수동 보링기 100파이 1대 기술자 모집,글로벌company,경기>김포시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002346&src=etc*search
148,[K-DT 무료교육] 빅데이터 자바&파이선  풀스택 취업과정 훈련생  모집,오라클자바교육센터,서울>구로구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190005654&src=etc*search
149,주5일 / 부천 송내 벤츠파이낸스 대표번호 고객상담 모집,(주)유정에이치알,경기 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230002980&src=etc*search
150,세종파이낸스센터1차 미화원 채용 (1명),주식회사 유진티에스,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002307&src=etc*search
151,"[IT취업률100프로]개발자 채용연계(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비생 선착순 모집",㈜세종교육,경기 성남시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45317131?Oem_Code=C1&logpath=1&stext=파이썬&listno=1
152,[전액무료IT개발자취업생모집]JAVA개발자/풀스택개발자/AI서비스개발자,㈜하이미디어아카데미,강원,https://www.jobkorea.co.kr/Recruit/GI_Read/45349095?Oem_Code=C1&logpath=1&stext=파이썬&listno=2
153,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),휴먼교육센터,서울 영등포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45438050?Oem_Code=C1&logpath=1&stext=파이썬&listno=3
154,[서울시 지원] 파이썬 기반 개발자 입문과정 훈련생 모집,동대문여성인력개발센터,서울 전지역 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45189900?Oem_Code=C1&logpath=1&stext=파이썬&listno=4
155,파이썬/데이터분석 국비훈련 강사 모집,한국직업전문학교,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401462?Oem_Code=C1&logpath=1&stext=파이썬&listno=5
156,로봇 ROS/파이썬 국비훈련 강사 모집,한국직업전문학교,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45103667?Oem_Code=C1&logpath=1&stext=파이썬&listno=6
157,구미시 Growing 이미지 Data 수집관리 ( 하둡 파이썬 spark 개발자 ) 10월투입,푸른IT,경북 구미시,https://www.jobkorea.co.kr/Recruit/GI_Read/45411670?Oem_Code=C1&logpath=1&stext=파이썬&listno=7
158,"파이썬(Python, AWS) 경력 개발자 채용",㈜한국미용데이터,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45381265?Oem_Code=C1&logpath=1&stext=파이썬&listno=8
